Price,Lon,Lat,Gr.Liv.Area,House.Style,Year.Remod.Add,Central.Air,Full.Bath,Half.Bath,Bedroom.AbvGr,Garage.Cars
218726,0.83833,0.833358,1073,1Story,1967,Y,1,0,3,1
200017,0.92325,0.022448,1027,1Story,1962,Y,1,0,3,1
278988,0.712241,0.656308,1518,1Story,2007,Y,1,0,2,0
210812,0.281819,0.89597,902,1Story,1983,Y,1,0,2,2
164966,0.432757,0.144966,756,1Story,1950,N,1,0,2,2
271176,0.469777,0.754971,1944,2Story,1994,Y,2,0,3,1
316487,0.827173,0.421272,1773,1Story,1992,Y,2,0,3,2
237560,0.206324,0.554354,1540,2Story,2005,Y,1,1,3,0
178557,0.247318,0.235959,941,1Story,1967,Y,1,0,3,1
187262,0.749699,0.80694,864,1Story,1962,Y,1,0,3,1
154442,0.378603,0.782379,540,1Story,1950,Y,1,0,1,1
187649,0.109302,0.861322,780,1Story,1972,Y,1,0,2,1
325180,0.912662,0.692296,1644,SLvl,1989,Y,2,0,2,2
248556,0.6713,0.927516,1374,1Story,1964,Y,1,0,3,1
NA,0.924844,0.863378,1144,1Story,1960,Y,1,0,3,1
262381,0.328447,0.565901,1655,2Story,1994,Y,2,1,3,2
NA,0.167304,0.688991,2855,2Story,2000,Y,2,1,4,3
336627,0.764993,0.935779,1553,1Story,2004,Y,2,0,3,2
NA,0.586383,0.128379,1114,1Story,2004,Y,1,1,3,0
297139,0.214339,0.800164,1488,1Story,2002,Y,1,0,3,2
286342,0.104991,0.558576,1716,2Story,2005,Y,2,1,3,2
233535,0.215667,0.213148,1091,SLvl,1996,Y,1,0,2,1
280430,0.135253,0.506005,1362,1Story,1957,Y,1,0,3,3
299264,0.849496,0.79312,1759,2Story,1993,Y,2,1,3,2
347754,0.048533,0.041292,2250,2Story,2002,Y,2,1,3,3
219878,0.525253,0.354251,1308,2Story,1969,Y,1,1,3,2
262282,0.773025,0.473447,1509,1Story,1956,Y,1,0,3,1
301186,0.936182,0.205357,1550,2Story,2007,Y,2,0,2,2
237488,0.415309,0.45718,1027,1Story,2006,Y,1,0,2,0
325438,0.102725,0.170231,1734,1Story,2005,Y,2,0,3,2
NA,0.138623,0.380158,1576,SLvl,1961,Y,1,0,4,2
377154,0.100011,0.482817,1801,1Story,1997,Y,2,0,1,2
297563,0.763518,0.777866,1683,2Story,1978,Y,2,1,3,2
251421,0.798596,0.878223,864,1Story,1990,Y,1,0,2,2
NA,0.267923,0.935788,1478,1Story,1992,Y,2,0,3,2
362318,0.196759,0.181575,1662,1Story,2007,Y,2,0,3,3
194250,0.142773,0.222832,894,1Story,1977,Y,1,0,2,1
422808,0.179622,0.089053,2392,1Story,2003,Y,2,0,3,3
459108,0.554038,0.968877,2500,2Story,2005,Y,3,1,5,3
208126,0.458141,0.300528,1645,2Story,1971,Y,1,2,4,2
293674,0.140943,0.242058,1586,1Story,1998,Y,2,0,3,2
296268,0.560325,0.553823,1895,2Story,1996,Y,2,1,3,2
225656,0.984194,0.187813,1148,1Story,1952,Y,1,0,2,1
198441,0.253549,0.494344,1040,1Story,1966,Y,1,0,3,1
200488,0.084244,0.943786,1040,1Story,1959,Y,1,0,3,1
NA,0.141926,0.434625,1483,1Story,2001,Y,1,1,1,2
255763,0.09589,0.166078,1476,2Story,2005,Y,2,1,3,2
202167,0.822947,0.210058,866,1Story,1997,Y,1,0,2,0
NA,0.021804,0.624992,1099,1Story,2006,Y,1,1,3,1
296239,0.513578,0.368406,1753,2Story,1999,Y,2,1,3,2
331080,0.461001,0.039132,1652,SLvl,2007,Y,2,1,3,2
384373,0.510156,0.823492,2448,2Story,2005,Y,2,1,4,3
369017,0.209857,0.528664,1822,1Story,2006,Y,2,0,3,3
356870,0.636806,0.37233,2202,2Story,1993,Y,2,1,4,2
204324,0.126993,0.983457,968,1Story,1956,Y,1,0,2,1
264519,0.143061,0.538589,1040,1Story,1992,Y,1,0,2,2
380096,0.783816,0.753865,1595,1Story,2006,Y,2,0,2,3
171152,0.019084,0.186525,1091,1Story,1951,N,1,0,2,1
242090,0.587725,0.266299,1068,1Story,2003,Y,1,0,3,1
231073,0.967515,0.896079,999,1Story,2001,Y,1,0,3,1
321731,0.551752,0.858092,1530,1Story,2005,Y,2,0,3,2
289201,0.661771,0.078445,1764,2Story,2000,Y,2,1,3,2
232634,0.463357,0.05765,1060,1Story,2001,Y,1,0,3,1
233972,0.869918,0.88887,1082,1Story,1950,Y,1,0,2,1
502584,0.91454,0.010119,2633,1Story,2002,Y,2,1,2,3
362035,0.055571,0.613006,2320,2Story,1950,Y,2,0,2,2
NA,0.290472,0.616261,1762,2Story,2002,Y,2,1,3,2
337951,0.250022,0.826241,2161,2Story,2001,Y,2,1,3,2
249641,0.634622,0.864455,960,1Story,2000,Y,1,0,2,1
244223,0.494616,0.080438,1047,1Story,1995,Y,1,0,2,1
298233,0.78645,0.617436,1494,1Story,1998,Y,2,0,3,2
309061,0.133084,0.623125,1478,1Story,1998,Y,2,0,2,2
224340,0.471366,0.300882,1040,SLvl,1978,Y,1,0,3,2
232176,0.536397,0.954438,1044,1Story,1968,Y,1,1,3,2
300705,0.817378,0.421625,1493,1Story,1998,Y,2,0,3,2
278424,0.208521,0.160622,1620,1Story,1993,Y,2,0,3,2
NA,0.829704,0.197647,936,1Story,1969,Y,1,0,2,1
